SITE_NUMBER	LATITUDE	LONGITUDE	ANPP	BIOME_TYPE	MANAGEMENT	ANNUAL_TEMPERATURE
1	-31.6	-64.8	373.5	G	N	8.1
2	-38.2	-62.3	263.25	G	N	12.39
3	53.15	-111.92	128.7	G	N	2.8
4	49.7092	-112.9403	99	G	N	6.4
5	50.7	-102.72	133	G	N	3
6	50.47	-104.37	61.2	G	N	2.4
7	-4.2892	11.6564	171	G	N	25
8	47.55	7.57	187.8	G	N	9.3
9	6.33	-5.02	373.5	G	N	26.93
10	6.33	-5.02	414	G	N	26.93
11	6.33	-5.02	693	G	N	26.93
12	42.0467	116.2836	60.675	G	N	2.1
13	42.0467	116.2836	133.7175	G	M	2.1
14	37.6133	101.305	200.025	G	N	-1.7
15	43.63	116.7	36.9	G	N	0.7
16	43.63	116.7	112.95	G	M	0.7
17	43.63	116.7	46.5	G	M	0.7
18	43.63	116.7	460.35	G	M	0.7
19	43.53	116.66	87	G	N	0.7
20	43.53	116.66	256.05	G	M	0.7
21	43.53	116.66	49.275	G	N	0.7
22	39.38	109.18	18.45	G	N	6.7
23	46.17	123	69.75	G	N	2.1
24	44.75	123.75	203	G	N	4.9
25	44.75	123.75	131	G	M	4.9
26	4.17089	-7.60358	73.8	G	N	27
27	49.73	15.97	136.2375	G	N	7.47
28	50.9494	13.5125	149.85	G	N	7.8
29	25.48	79.62	566.55	G	N	25.66
30	26.05	91.83	194.85	G	N	22.17
31	25.07	91.7	131.85	G	N	23.23
32	32.33	78.02	21.6	G	N	-4.48
33	29.97	76.85	1083.15	G	N	24.73
34	26.78	82.2	237.15	G	M	24.41
35	11.22	76.65	834.75	G	N	19.65
36	11.22	76.65	1946.25	G	N	19.65
37	10	78.17	463.05	G	N	26.91
38	30.47	79.33	220.5	G	N	3.95
39	30.47	79.33	204.3	G	M	3.95
40	30.5	79.25	81	G	N	4.02
41	30.5	79.25	99	G	N	4.02
42	25.57	91.83	227.25	G	N	16.15
43	46	13.02	NA	G	M	13.1
44	36.52	138.35	NA	G	N	6.3
45	42.67	141.75	280	G	N	7.9
46	-1.33	36.83	219.6	G	N	19.7
47	51.67	71	112.05	G	N	1.3
48	19.46	-98.91	274.05	G	N	14.2
49	-43.78	171.8	233	G	M	10.9
50	-43.78	171.8	391	G	M	10.9
51	54.7252	90.0022	58.95	G	N	2.3
52	54.773	89.9566	84.6	G	N	2.9
53	54.7046	89.0779	94.95	G	N	2.3
54	51.67	36.5	301.95	G	N	6.1
55	60.83	30.25	131.4	G	N	8.6
56	51.83	94.42	52.2	G	N	-4.3
57	60.17	17.63	NA	G	M	5
58	60.17	17.63	NA	G	M	5
59	6.33	100.93	274.5	G	N	26.4
60	37.03	60.08	95.85	G	N	6.1
61	-0.18	29.88	248.85	G	N	17.50657604
62	51.8092	-0.3553	NA	G	N	9.2
63	39.75	-102.5	40.3	G	N	10.3
64	39.15	-78.1	431	G	N	11.8
